plastic_type,microorganism,degradation_rate,days,temperature,pH
Polyurethane,Sulfolobus acidocaldarius,7,333,24,7
Polyurethane,Exiguobacterium sp.,35,77,13,7
Polyurethane,Exiguobacterium sp.,92,288,40,8
Polyvinyl Chloride,Ochrobactrum sp.,75,47,34,8
Polyvinyl Chloride,Exiguobacterium sp.,13,110,18,7
Polypropylene,Ochrobactrum sp.,53,200,22,8
Polystyrene,Bacillus alcalophilus,84,210,27,6
Polypropylene,Ochrobactrum sp.,85,154,30,8
Polyethylene Terephthalate (PET),Citrobacter koseri,20,10,25,5
Nylon,Ochrobactrum sp.,49,353,10,5
Polyurethane,Ideonella sakaiensis,93,157,13,6
Polystyrene,Thermobifida fusca,38,261,27,8
Nylon,Ochrobactrum sp.,19,77,17,5
Polystyrene,Streptomyces coelicolor,87,257,29,9
Polyethylene,Ochrobactrum sp.,86,131,25,8
Polyethylene,Exiguobacterium sp.,6,67,30,6
Polycarbonate,Ideonella sakaiensis,8,228,20,8
Polyethylene,Pseudomonas aeruginosa,0,163,29,7
Polypropylene,Acidithiobacillus ferrooxidans,25,15,30,7
Polyethylene,Ideonella sakaiensis,37,232,30,5
Polyvinyl Chloride,Bacillus subtilis,37,195,30,7
Polyurethane,Acidithiobacillus ferrooxidans,60,349,36,6
Polypropylene,Aspergillus niger,43,30,28,5
Nylon,Aspergillus niger,85,359,32,6
Polycarbonate,Bacillus subtilis,43,338,28,6
Polycarbonate,Ideonella sakaiensis,73,331,27,7
Polycarbonate,Bacillus alcalophilus,61,316,28,7
Nylon,Bacillus subtilis,5,296,20,6
Nylon,Thermobifida fusca,16,330,12,7
Nylon,Acidithiobacillus ferrooxidans,50,220,17,7
Nylon,Acidithiobacillus ferrooxidans,37,147,29,7
Polycarbonate,Exiguobacterium sp.,23,259,28,8
Polycarbonate,Fusarium solani,50,292,19,6
Polystyrene,Halomonas titanicae,9,299,25,9
Polypropylene,Streptomyces coelicolor,71,143,14,6
Polyurethane,Acidithiobacillus ferrooxidans,20,235,29,5
Polyethylene,Pseudomonas aeruginosa,69,115,18,7
Polyethylene,Bacillus subtilis,84,365,17,7
Polyvinyl Chloride,Citrobacter koseri,56,90,20,9
Polycarbonate,Ochrobactrum sp.,38,208,25,5
Polyvinyl Chloride,Fusarium solani,87,164,16,8
Polypropylene,Acidithiobacillus ferrooxidans,32,84,24,6
Polypropylene,Bacillus subtilis,58,77,33,8
Polyvinyl Chloride,Sulfolobus acidocaldarius,17,161,38,5
Polycarbonate,Fusarium solani,55,5,30,9
Polyvinyl Chloride,Bacillus alcalophilus,91,78,29,5
Polyethylene,Streptomyces coelicolor,56,91,32,9
Polystyrene,Alcanivorax borkumensis,95,87,26,8
Polyethylene,Alcanivorax borkumensis,75,270,15,8
Polyethylene Terephthalate (PET),Exiguobacterium sp.,47,104,24,5
Polycarbonate,Exiguobacterium sp.,41,339,17,5
Polycarbonate,Bacillus alcalophilus,26,175,16,7
Polyurethane,Citrobacter koseri,73,54,11,9
Nylon,Exiguobacterium sp.,51,211,39,7
Polyethylene Terephthalate (PET),Halomonas titanicae,41,95,22,6
Polypropylene,Acidithiobacillus ferrooxidans,31,223,39,6
Polycarbonate,Streptomyces coelicolor,25,9,32,5
Polyvinyl Chloride,Ideonella sakaiensis,24,53,38,8
Polyethylene Terephthalate (PET),Bacillus subtilis,74,77,15,6
Polyurethane,Ideonella sakaiensis,22,206,38,6
Polypropylene,Bacillus alcalophilus,97,316,14,7
Nylon,Aspergillus niger,56,302,29,7
Nylon,Bacillus subtilis,51,310,10,6
Polyurethane,Bacillus subtilis,86,330,38,5
Polyurethane,Sulfolobus acidocaldarius,92,112,27,7
Polyvinyl Chloride,Bacillus alcalophilus,30,351,24,6
Polycarbonate,Bacillus alcalophilus,63,165,32,8
Nylon,Alcanivorax borkumensis,70,279,19,7
Polypropylene,Pseudomonas aeruginosa,32,27,12,6
Polyethylene Terephthalate (PET),Ideonella sakaiensis,84,70,14,9
Polypropylene,Citrobacter koseri,1,218,33,7
Polystyrene,Pseudomonas aeruginosa,17,365,38,9
Polystyrene,Ochrobactrum sp.,46,189,22,7
Polyurethane,Halomonas titanicae,32,333,17,7
Polyvinyl Chloride,Thermobifida fusca,100,306,31,9
Polystyrene,Ochrobactrum sp.,97,124,30,5
Nylon,Aspergillus niger,83,19,38,6
Polypropylene,Bacillus subtilis,34,257,11,5
Polypropylene,Alcanivorax borkumensis,50,296,18,5
Polyurethane,Aspergillus niger,17,22,26,6
Polycarbonate,Bacillus subtilis,87,40,36,8
Polycarbonate,Halomonas titanicae,71,38,27,5
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,29,48,22,5
Polyurethane,Bacillus alcalophilus,43,183,10,5
Polyethylene,Exiguobacterium sp.,52,75,21,8
Polyethylene Terephthalate (PET),Ideonella sakaiensis,9,209,29,7
Polyethylene,Exiguobacterium sp.,86,183,29,9
Polycarbonate,Acidithiobacillus ferrooxidans,51,107,30,9
Polyurethane,Fusarium solani,48,188,14,8
Polyethylene,Sulfolobus acidocaldarius,10,264,17,5
Polyurethane,Citrobacter koseri,65,86,36,9
Polyurethane,Halomonas titanicae,57,324,24,8
Polycarbonate,Sulfolobus acidocaldarius,89,331,36,6
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,35,137,12,9
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,32,346,15,6
Polyurethane,Citrobacter koseri,46,336,37,5
Polystyrene,Thermobifida fusca,12,95,22,9
Polyvinyl Chloride,Bacillus subtilis,39,326,21,8
Polycarbonate,Sulfolobus acidocaldarius,88,245,28,7
Polyvinyl Chloride,Pseudomonas aeruginosa,67,90,38,9
Polyvinyl Chloride,Citrobacter koseri,41,59,27,9
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,18,28,33,9
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,81,72,10,9
Polystyrene,Bacillus alcalophilus,100,270,34,8
Polyvinyl Chloride,Alcanivorax borkumensis,93,24,36,8
Polyvinyl Chloride,Pseudomonas aeruginosa,18,112,16,7
Polyurethane,Bacillus subtilis,57,300,21,8
Polyethylene Terephthalate (PET),Exiguobacterium sp.,22,56,19,8
Polyvinyl Chloride,Sulfolobus acidocaldarius,53,223,38,5
Polypropylene,Bacillus subtilis,79,120,40,5
Polystyrene,Fusarium solani,64,179,21,6
Polyethylene,Ideonella sakaiensis,11,288,20,7
Polypropylene,Streptomyces coelicolor,23,281,13,5
Polypropylene,Acidithiobacillus ferrooxidans,33,189,28,7
Polyethylene,Ideonella sakaiensis,52,66,15,7
Polycarbonate,Ideonella sakaiensis,7,298,34,9
Polycarbonate,Citrobacter koseri,17,249,40,7
Polystyrene,Halomonas titanicae,56,76,18,9
Polypropylene,Fusarium solani,4,137,29,6
Polyvinyl Chloride,Exiguobacterium sp.,25,164,19,6
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,29,233,14,6
Polystyrene,Alcanivorax borkumensis,53,255,36,9
Polyurethane,Bacillus subtilis,12,294,22,9
Polyethylene,Bacillus alcalophilus,82,170,18,6
Polypropylene,Streptomyces coelicolor,28,317,11,9
Polystyrene,Aspergillus niger,2,174,27,8
Nylon,Fusarium solani,89,345,30,8
Nylon,Ideonella sakaiensis,57,18,10,9
Polycarbonate,Alcanivorax borkumensis,75,70,33,9
Polyethylene,Aspergillus niger,1,338,30,5
Polyethylene Terephthalate (PET),Streptomyces coelicolor,74,116,21,5
Polyvinyl Chloride,Halomonas titanicae,27,80,19,7
Polyethylene Terephthalate (PET),Halomonas titanicae,81,15,11,7
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,76,176,37,7
Polyethylene Terephthalate (PET),Ochrobactrum sp.,100,269,18,6
Polyethylene,Streptomyces coelicolor,85,119,11,8
Polyethylene Terephthalate (PET),Streptomyces coelicolor,75,299,32,6
Polyurethane,Aspergillus niger,1,188,33,9
Polyethylene,Alcanivorax borkumensis,100,57,39,5
Polyurethane,Bacillus subtilis,6,199,31,9
Polyethylene,Citrobacter koseri,25,17,23,9
Polycarbonate,Ochrobactrum sp.,89,288,20,5
Polystyrene,Aspergillus niger,87,55,32,9
Nylon,Bacillus alcalophilus,75,269,20,7
Polyethylene Terephthalate (PET),Ideonella sakaiensis,15,303,26,5
Polycarbonate,Halomonas titanicae,22,87,13,9
Polystyrene,Ideonella sakaiensis,39,318,22,7
Nylon,Halomonas titanicae,59,29,16,7
Polypropylene,Sulfolobus acidocaldarius,72,22,25,8
Polyvinyl Chloride,Bacillus subtilis,31,321,10,7
Polyurethane,Bacillus alcalophilus,14,285,22,6
Polypropylene,Halomonas titanicae,100,48,10,5
Polyethylene,Aspergillus niger,12,5,20,5
Nylon,Bacillus alcalophilus,4,250,15,5
Polypropylene,Aspergillus niger,74,163,29,9
Polyvinyl Chloride,Citrobacter koseri,73,202,12,9
Polycarbonate,Citrobacter koseri,51,101,21,6
Nylon,Ideonella sakaiensis,76,71,40,7
Polypropylene,Halomonas titanicae,40,163,14,9
Polyurethane,Halomonas titanicae,52,173,18,7
Polyurethane,Alcanivorax borkumensis,49,141,35,7
Polystyrene,Citrobacter koseri,14,138,35,9
Polypropylene,Bacillus subtilis,6,66,21,9
Polyethylene Terephthalate (PET),Bacillus subtilis,39,198,39,6
Polypropylene,Fusarium solani,27,328,39,8
Polycarbonate,Fusarium solani,31,228,37,5
Nylon,Sulfolobus acidocaldarius,98,281,36,9
Nylon,Citrobacter koseri,14,172,19,9
Polycarbonate,Aspergillus niger,99,316,28,7
Polypropylene,Aspergillus niger,84,40,14,8
Polycarbonate,Exiguobacterium sp.,69,7,35,9
Polyvinyl Chloride,Bacillus alcalophilus,64,174,14,8
Polyethylene,Pseudomonas aeruginosa,3,151,18,5
Polycarbonate,Ideonella sakaiensis,10,211,36,7
Polyurethane,Fusarium solani,25,302,37,6
Polycarbonate,Ideonella sakaiensis,60,86,35,5
Nylon,Halomonas titanicae,36,253,36,8
Polyurethane,Sulfolobus acidocaldarius,22,21,29,8
Nylon,Bacillus subtilis,92,257,26,5
Polystyrene,Pseudomonas aeruginosa,84,33,19,8
Polyethylene Terephthalate (PET),Streptomyces coelicolor,90,260,30,6
Nylon,Sulfolobus acidocaldarius,39,234,10,6
Polyurethane,Streptomyces coelicolor,76,3,31,8
Polystyrene,Acidithiobacillus ferrooxidans,22,347,37,8
Nylon,Citrobacter koseri,15,308,25,6
Polyvinyl Chloride,Streptomyces coelicolor,93,227,35,8
Polycarbonate,Streptomyces coelicolor,60,284,35,9
Polyethylene Terephthalate (PET),Ideonella sakaiensis,67,70,24,7
Nylon,Acidithiobacillus ferrooxidans,79,313,32,9
Polystyrene,Alcanivorax borkumensis,30,364,26,8
Polyvinyl Chloride,Thermobifida fusca,52,254,35,8
Polypropylene,Alcanivorax borkumensis,24,144,29,7
Polystyrene,Alcanivorax borkumensis,43,24,34,8
Polycarbonate,Citrobacter koseri,11,234,22,7
Polystyrene,Pseudomonas aeruginosa,89,333,10,6
Polyvinyl Chloride,Sulfolobus acidocaldarius,100,175,34,7
Polystyrene,Sulfolobus acidocaldarius,96,332,17,7
Polyvinyl Chloride,Ochrobactrum sp.,91,325,14,9
Nylon,Halomonas titanicae,8,357,15,8
Polyethylene,Alcanivorax borkumensis,11,159,32,6
Polyvinyl Chloride,Citrobacter koseri,68,348,29,5
Polyvinyl Chloride,Halomonas titanicae,53,348,39,7
Polyethylene Terephthalate (PET),Thermobifida fusca,53,286,23,5
Polyvinyl Chloride,Bacillus alcalophilus,27,18,31,8
Polyvinyl Chloride,Halomonas titanicae,55,44,32,7
Polypropylene,Ideonella sakaiensis,98,155,20,5
Polyethylene,Ideonella sakaiensis,68,355,40,9
Nylon,Pseudomonas aeruginosa,97,231,15,5
Polycarbonate,Fusarium solani,97,316,20,9
Polyethylene Terephthalate (PET),Streptomyces coelicolor,76,225,22,6
Polypropylene,Alcanivorax borkumensis,57,217,40,8
Polyurethane,Ochrobactrum sp.,77,56,21,5
Polyethylene,Acidithiobacillus ferrooxidans,74,31,31,7
Nylon,Ochrobactrum sp.,41,357,11,8
Nylon,Fusarium solani,37,59,30,5
Polyurethane,Bacillus subtilis,67,353,12,7
Polycarbonate,Halomonas titanicae,52,235,32,7
Polyvinyl Chloride,Citrobacter koseri,32,107,13,7
Polypropylene,Thermobifida fusca,70,191,26,7
Polystyrene,Streptomyces coelicolor,55,18,37,5
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,71,226,37,6
Polystyrene,Aspergillus niger,100,167,31,9
Polyurethane,Streptomyces coelicolor,50,71,15,9
Nylon,Thermobifida fusca,73,362,16,9
Polycarbonate,Pseudomonas aeruginosa,42,54,24,6
Nylon,Bacillus subtilis,14,245,20,7
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,37,350,33,7
Nylon,Thermobifida fusca,14,76,40,8
Nylon,Ideonella sakaiensis,4,35,12,9
Polyethylene Terephthalate (PET),Halomonas titanicae,92,267,39,9
Polypropylene,Bacillus alcalophilus,82,317,15,7
Polypropylene,Ideonella sakaiensis,53,300,35,9
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,50,121,11,7
Polycarbonate,Pseudomonas aeruginosa,9,324,38,7
Polyurethane,Citrobacter koseri,11,25,23,7
Polyethylene,Halomonas titanicae,3,160,18,5
Nylon,Streptomyces coelicolor,94,84,27,5
Polycarbonate,Bacillus alcalophilus,17,114,28,5
Nylon,Fusarium solani,79,223,21,5
Polyethylene,Aspergillus niger,35,166,40,6
Polyurethane,Alcanivorax borkumensis,24,191,40,8
Polypropylene,Sulfolobus acidocaldarius,86,175,22,8
Polycarbonate,Pseudomonas aeruginosa,75,1,35,7
Polyvinyl Chloride,Halomonas titanicae,97,229,21,9
Polyvinyl Chloride,Alcanivorax borkumensis,35,86,21,5
Polyethylene,Ideonella sakaiensis,100,62,27,8
Polyvinyl Chloride,Sulfolobus acidocaldarius,66,320,18,8
Polypropylene,Thermobifida fusca,8,206,26,5
Polyethylene,Ochrobactrum sp.,60,105,30,6
Polypropylene,Sulfolobus acidocaldarius,52,318,25,6
Polyurethane,Ochrobactrum sp.,17,291,26,8
Nylon,Fusarium solani,42,250,30,6
Polyurethane,Fusarium solani,34,13,33,5
Polyurethane,Ideonella sakaiensis,62,163,17,8
Polypropylene,Fusarium solani,97,43,20,5
Polyethylene,Acidithiobacillus ferrooxidans,77,111,33,6
Polyethylene,Exiguobacterium sp.,3,205,11,5
Polyvinyl Chloride,Exiguobacterium sp.,92,256,17,6
Polystyrene,Sulfolobus acidocaldarius,40,307,21,6
Nylon,Fusarium solani,44,144,30,5
Polypropylene,Citrobacter koseri,49,146,40,6
Polyvinyl Chloride,Pseudomonas aeruginosa,78,301,10,7
Polycarbonate,Alcanivorax borkumensis,27,164,32,5
Polystyrene,Alcanivorax borkumensis,41,169,22,7
Polystyrene,Exiguobacterium sp.,79,298,31,5
Polypropylene,Sulfolobus acidocaldarius,75,233,30,6
Polyethylene Terephthalate (PET),Ideonella sakaiensis,68,271,26,6
Nylon,Halomonas titanicae,97,60,23,8
Polystyrene,Streptomyces coelicolor,0,296,23,8
Polypropylene,Streptomyces coelicolor,38,235,25,7
Polypropylene,Exiguobacterium sp.,95,165,26,6
Polyvinyl Chloride,Thermobifida fusca,89,194,15,8
Polycarbonate,Halomonas titanicae,16,234,35,6
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,90,183,37,5
Nylon,Acidithiobacillus ferrooxidans,87,333,16,8
Polyethylene,Exiguobacterium sp.,34,232,35,7
Polyurethane,Streptomyces coelicolor,45,361,35,8
Polycarbonate,Thermobifida fusca,41,107,10,6
Polycarbonate,Halomonas titanicae,38,223,34,9
Polyvinyl Chloride,Thermobifida fusca,89,80,24,9
Polyethylene,Fusarium solani,48,234,29,6
Polystyrene,Sulfolobus acidocaldarius,61,184,30,5
Polystyrene,Ideonella sakaiensis,37,185,27,8
Polyvinyl Chloride,Alcanivorax borkumensis,22,134,39,9
Polypropylene,Citrobacter koseri,21,220,37,5
Polystyrene,Bacillus alcalophilus,3,288,35,6
Polyethylene Terephthalate (PET),Ochrobactrum sp.,48,364,22,5
Nylon,Ochrobactrum sp.,58,202,33,6
Polycarbonate,Sulfolobus acidocaldarius,72,146,39,8
Polycarbonate,Fusarium solani,67,324,11,5
Polyethylene Terephthalate (PET),Bacillus subtilis,70,127,28,8
Polyethylene,Streptomyces coelicolor,86,135,24,5
Polystyrene,Ochrobactrum sp.,1,114,21,6
Polycarbonate,Fusarium solani,48,264,24,6
Polyurethane,Ochrobactrum sp.,87,64,34,5
Polyethylene,Bacillus subtilis,94,135,27,6
Nylon,Thermobifida fusca,30,41,23,7
Nylon,Exiguobacterium sp.,39,296,15,7
Polycarbonate,Halomonas titanicae,47,3,21,8
Polyvinyl Chloride,Alcanivorax borkumensis,50,194,29,7
Polyethylene,Pseudomonas aeruginosa,42,110,32,7
Polycarbonate,Exiguobacterium sp.,97,221,39,9
Polyvinyl Chloride,Sulfolobus acidocaldarius,54,4,39,9
Polycarbonate,Exiguobacterium sp.,87,244,15,9
Polyurethane,Sulfolobus acidocaldarius,48,166,35,9
Polyethylene,Pseudomonas aeruginosa,89,26,39,6
Polypropylene,Aspergillus niger,79,17,18,8
Nylon,Bacillus subtilis,56,216,39,8
Polycarbonate,Alcanivorax borkumensis,76,92,34,7
Polyurethane,Thermobifida fusca,14,31,35,8
Polyvinyl Chloride,Citrobacter koseri,26,205,13,7
Polyvinyl Chloride,Citrobacter koseri,67,207,26,8
Nylon,Bacillus subtilis,79,107,11,5
Polyethylene Terephthalate (PET),Bacillus alcalophilus,63,146,25,5
Polycarbonate,Thermobifida fusca,93,101,33,8
Polyethylene,Ochrobactrum sp.,29,318,23,6
Polystyrene,Fusarium solani,35,241,35,7
Polyvinyl Chloride,Aspergillus niger,66,247,17,8
Polyethylene,Bacillus subtilis,85,163,23,7
Polyethylene,Citrobacter koseri,85,173,40,9
Polypropylene,Exiguobacterium sp.,48,35,11,8
Polyethylene,Fusarium solani,75,284,25,6
Polyethylene,Aspergillus niger,54,359,13,9
Polypropylene,Halomonas titanicae,84,358,10,8
Polyvinyl Chloride,Halomonas titanicae,55,21,32,5
Polyethylene,Thermobifida fusca,67,308,29,8
Polyethylene Terephthalate (PET),Fusarium solani,94,163,36,5
Polyethylene Terephthalate (PET),Bacillus subtilis,43,97,23,5
Polyurethane,Sulfolobus acidocaldarius,30,307,17,8
Polypropylene,Sulfolobus acidocaldarius,57,339,34,8
Polyurethane,Exiguobacterium sp.,86,55,37,5
Polypropylene,Aspergillus niger,52,333,34,7
Polycarbonate,Aspergillus niger,83,127,12,9
Polycarbonate,Thermobifida fusca,78,193,14,6
Polyethylene,Fusarium solani,22,243,15,8
Polystyrene,Streptomyces coelicolor,27,349,31,9
Polycarbonate,Halomonas titanicae,15,88,35,9
Polystyrene,Aspergillus niger,36,336,17,7
Polycarbonate,Fusarium solani,20,215,15,9
Nylon,Thermobifida fusca,78,92,15,8
Polycarbonate,Pseudomonas aeruginosa,16,303,13,9
Polyurethane,Bacillus alcalophilus,36,235,16,8
Polyvinyl Chloride,Pseudomonas aeruginosa,76,184,39,8
Polyethylene,Thermobifida fusca,18,38,39,5
Polyurethane,Alcanivorax borkumensis,29,139,33,7
Polyvinyl Chloride,Bacillus subtilis,44,195,28,6
Polyethylene Terephthalate (PET),Exiguobacterium sp.,17,15,16,5
Polyurethane,Aspergillus niger,77,257,12,6
Polyethylene Terephthalate (PET),Thermobifida fusca,61,135,17,8
Polystyrene,Alcanivorax borkumensis,35,1,10,5
Polystyrene,Citrobacter koseri,99,49,10,9
Nylon,Alcanivorax borkumensis,83,96,23,9
Polycarbonate,Ideonella sakaiensis,51,201,15,6
Polyurethane,Ochrobactrum sp.,18,26,19,8
Polyethylene Terephthalate (PET),Fusarium solani,43,343,34,6
Polyvinyl Chloride,Aspergillus niger,6,235,37,7
Polystyrene,Bacillus alcalophilus,43,349,23,9
Polycarbonate,Bacillus subtilis,67,244,13,5
Polystyrene,Fusarium solani,33,358,15,5
Polyvinyl Chloride,Ideonella sakaiensis,65,327,25,5
Polycarbonate,Fusarium solani,68,351,37,9
Polycarbonate,Ideonella sakaiensis,54,51,30,8
Polyethylene Terephthalate (PET),Exiguobacterium sp.,9,81,37,9
Polyethylene Terephthalate (PET),Exiguobacterium sp.,95,36,40,9
Polyurethane,Halomonas titanicae,41,67,10,5
Polyurethane,Halomonas titanicae,40,129,15,9
Polypropylene,Sulfolobus acidocaldarius,76,155,18,5
Polyethylene,Streptomyces coelicolor,68,245,40,8
Polypropylene,Aspergillus niger,9,111,24,7
Nylon,Thermobifida fusca,9,168,21,5
Polystyrene,Aspergillus niger,90,142,12,6
Polyurethane,Acidithiobacillus ferrooxidans,59,356,20,7
Polyethylene Terephthalate (PET),Thermobifida fusca,50,197,24,8
Polyvinyl Chloride,Ideonella sakaiensis,20,109,12,7
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,7,79,23,5
Polystyrene,Aspergillus niger,64,161,11,8
Polypropylene,Aspergillus niger,91,19,38,6
Polyethylene Terephthalate (PET),Streptomyces coelicolor,77,127,13,5
Polyethylene,Citrobacter koseri,84,205,35,5
Nylon,Thermobifida fusca,29,29,28,8
Polystyrene,Halomonas titanicae,84,207,21,8
Polypropylene,Halomonas titanicae,48,280,11,7
Polyethylene,Bacillus alcalophilus,8,151,26,6
Polyvinyl Chloride,Aspergillus niger,16,240,12,7
Polypropylene,Streptomyces coelicolor,68,266,19,7
Polycarbonate,Bacillus subtilis,57,182,25,5
Polyethylene,Halomonas titanicae,56,105,31,8
Polyethylene,Streptomyces coelicolor,61,236,18,5
Nylon,Pseudomonas aeruginosa,94,173,20,6
Polystyrene,Ochrobactrum sp.,51,158,30,7
Polyvinyl Chloride,Citrobacter koseri,60,172,24,6
Nylon,Aspergillus niger,39,311,12,8
Polypropylene,Ochrobactrum sp.,37,157,25,8
Nylon,Bacillus alcalophilus,42,258,39,9
Polyethylene,Ideonella sakaiensis,62,164,30,6
Polystyrene,Alcanivorax borkumensis,18,147,30,5
Polyurethane,Halomonas titanicae,99,154,30,6
Nylon,Pseudomonas aeruginosa,49,38,37,7
Polycarbonate,Bacillus subtilis,32,131,21,8
Nylon,Ideonella sakaiensis,12,358,32,8
Polypropylene,Streptomyces coelicolor,77,255,14,6
Polypropylene,Exiguobacterium sp.,96,208,16,6
Polyvinyl Chloride,Fusarium solani,61,95,18,6
Polypropylene,Aspergillus niger,92,348,30,7
Polyethylene Terephthalate (PET),Aspergillus niger,42,327,27,7
Polystyrene,Pseudomonas aeruginosa,48,171,30,5
Polystyrene,Streptomyces coelicolor,35,250,17,6
Polyurethane,Sulfolobus acidocaldarius,9,190,21,5
Polyurethane,Aspergillus niger,94,199,29,9
Polystyrene,Sulfolobus acidocaldarius,5,221,11,7
Polycarbonate,Bacillus subtilis,56,24,19,8
Polyurethane,Exiguobacterium sp.,0,244,28,9
Polyvinyl Chloride,Pseudomonas aeruginosa,70,324,18,8
Polypropylene,Ideonella sakaiensis,57,128,34,9
Polystyrene,Ochrobactrum sp.,90,93,33,5
Polyethylene,Streptomyces coelicolor,20,300,17,5
Polyurethane,Streptomyces coelicolor,91,133,33,7
Polystyrene,Acidithiobacillus ferrooxidans,79,55,33,8
Polyethylene Terephthalate (PET),Bacillus subtilis,55,158,33,9
Nylon,Bacillus subtilis,86,29,10,6
Polypropylene,Citrobacter koseri,19,211,15,6
Polystyrene,Fusarium solani,53,154,21,7
Nylon,Halomonas titanicae,24,293,34,8
Polyurethane,Thermobifida fusca,27,222,33,6
Nylon,Halomonas titanicae,4,115,28,7
Polypropylene,Acidithiobacillus ferrooxidans,20,158,36,7
Polystyrene,Alcanivorax borkumensis,17,259,26,8
Polyethylene Terephthalate (PET),Bacillus alcalophilus,46,251,11,6
Polycarbonate,Pseudomonas aeruginosa,69,122,20,6
Polyurethane,Exiguobacterium sp.,56,299,40,6
Polystyrene,Streptomyces coelicolor,92,263,27,5
Polypropylene,Fusarium solani,18,49,32,6
Polyurethane,Sulfolobus acidocaldarius,96,329,37,9
Polyvinyl Chloride,Pseudomonas aeruginosa,64,297,31,5
Nylon,Alcanivorax borkumensis,2,362,20,5
Polycarbonate,Ochrobactrum sp.,41,77,27,5
Polypropylene,Pseudomonas aeruginosa,20,127,17,5
Polyvinyl Chloride,Alcanivorax borkumensis,98,197,24,7
Polyethylene,Streptomyces coelicolor,39,221,18,9
Polystyrene,Bacillus alcalophilus,66,91,24,8
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,24,8,16,6
Polyurethane,Streptomyces coelicolor,54,32,29,5
Nylon,Streptomyces coelicolor,83,320,22,8
Polyurethane,Bacillus alcalophilus,51,269,22,7
Polycarbonate,Halomonas titanicae,43,191,10,8
